d.label,vp.label
Dolutegravir|Dolutegravir,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Efavirenz|(S)-6-chloro-4-(Cyclopropylethynyl)-1-4-dihydro-(S)-6-chloro-4-(cyclopropylethynyl)-1-4-dihydro-4-(trifluoromethyl)-2H-3-1-benzoxazin-2-one4-(trifluoromethyl)-2H-3-1-benzoxazin-2-one|(S)-6-chloro-4-cyclopropylethynyl-4-trifluoromethyl-1-4-dihydro-benzo[d][1-3]oxazin-2-one|6-chloro-4-(2-cyclopropyl-1-ethynyl)-4-trifluoromethyl-(4S)-1-4-dihydro-2H-benzo[d][1-3]oxazin-2-one|Efavirenz|?favirenz|Efavirenzum,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Atazanavir|Atazanavir|Atazanavirum|ATZ,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Tenofovir alafenamide|Tenofovir alafenamide,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Rilpivirine|4-{[4-({4-[(E)-2-cyanovinyl]-2-6-dimethylphenyl}amino)pyrimidin-2-yl]amino}benzonitrile|Rilpivirina|Rilpivirine,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Stavudine|1-(2-3-Dideoxy-beta-D-glycero-pent-2-enofuranosyl)thymine|2'-3'-Didehydro-3'-deoxythimidine|3'-Deoxy-2'-thymidinene|Estavudina|Sanilvudine|Stavudin|Stavudine|Stavudinum|STV,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Darunavir|(3R-3aS-6aR)-hexahydrofuro[2-3-b]furan-3-yl N-((1S-2R)-1-benzyl-2-hydroxy-3-(N1-isobutylsulfanilamido)propyl)carbamate|(3R-3aS-6aR)-tetrahydro-2H-furo[2-3-b]furan-3-yl (2S-3R)-4-(4-amino-N-isobutylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate|(3R-3aS-6aR)-tetrahydro-2H-furo[2-3-b]furan-3-yl (2S-3R)-4-(4-amino-N-neopentylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate|[(S)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-2-hydroxy-1-((R)-phenylmethyl)-propyl]-carbamic acid (3R-3aS-6aR)-(hexahydro-furo[2-3-b]furan-3-yl) ester|{(1S-2R)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-1-benzyl-2-hydroxy-propyl}-carbamic acid (3R-3aS-6aR)-(hexahydro-furo[2-3-b]furan-3-yl) ester|Darunavir|Darunavirum|N-((1S-2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-benzylpropyl)((1S-2R-5R)-4-6-dioxabicyclo(3.3.0)oct-2-yloxy)carboxamide,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Cobicistat|1-3-thiazol-5-ylmethyl [(2R-5R)-5-{[(2S)-2-({[(2-isopropyl-1-3-thiazol-4-yl)methyl](methyl)carbamoyl}amino)-4-(morpholin-4-yl)butanoyl]amino}-1-6-diphenylhexan-2-yl]carbamate|Cobicistat,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Nevirapine|11-cyclopropyl-5-11-dihydro-4-methyl-6H-dipyrido(3-2-b:2'-3'-e)(1-4)diazepin-6-one|NEV|Nevirapina|Nevirapine|Nevirapine anhydrous|Nevirapine- anhydrous|NVP,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Emtricitabine|(?)-(2R-5S)-5-fluoro-1-[2-(hydroxymethyl)-1-3-oxathiolan-5-yl]cytosine|(?)-2'-deoxy-5-fluoro-3'-thiacytidine|(?)-cis-4-amino-5-fluoro-1-(2-hydroxymethyl-1-3-oxathiolan-5-yl)-(1H)-pyrimidin-2-one|(?)-FTC|(?)-��-2'-3'-dideoxy-5-fluoro-3'-thiacytidine|(2R-cis)-4-amino-5-fluoro-1-(2-(hydroxymethyl)-1-3-oxathiolan-5-yl)-2(1H)-pyrimidinone|4-amino-5-fluoro-1-((2R-5S)-2-(hydroxymethyl)-1-3-oxathiolan-5-yl)pyrimidin-2(1H)-one|4-Amino-5-fluoro-1-((2R-5S)-2-hydroxymethyl-[1-3]oxathiolan-5-yl)-1H-pyrimidin-2-one|5-fluoro-1-((2R-5S)-2-(hydroxymethyl)-1-3-oxathiolan-5-yl)cytosine|Emtricitabin|Emtricitabina|Emtricitabine|Emtricitabinum,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Zidovudine|Azidothymidine|AZT|ZDV|Zidovudina|Zidovudine|Zidovudinum,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Indinavir|(1(1S-2R)-5(S))-2-3-5-Trideoxy-N-(2-3-dihydro-2-hydroxy-1H-inden-1-yl)-5-(2-(((1-1-dimethylethyl)amino)carbonyl)-4-(3-pyridinylmethyl)-1-piperazinyl)-2-(phenylmethyl)-D-erythro-pentonamide|Indinavir|Indinavir anhydrous,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Elvitegravir|6-(3-chloro-2-fluorobenzyl)-1-[(2S)-1-hydroxy-3-methylbutan-2-yl]-7-methoxy-4-oxo-1-4-dihydroquinoline-3-carboxylic acid|Elvitegravir|elvit��gravir|EVG|GS 9137,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Etravirine|Etravirina|Etravirine,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Amprenavir|(3S)-Tetrahydro-3-furanyl ((1S-2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-(phenylmethyl)propyl)carbamate|Amprenavir|Ampr��navir|Amprenavirum,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Lamivudine|(-)-1-((2R-5S)-2-(Hydroxymethyl)-1-3-oxathiolan-5-yl)cytosine|(-)-2'-Deoxy-3'-thiacytidine|2'-3'-Dideoxy-3'-thiacytidine|3'-Thia-2'-3'-dideoxycytidine|3TC|beta-L-2'-3'-Dideoxy-3'-thiacytidine|beta-L-3'-Thia-2'-3'-dideoxycytidine|Lamivudin|Lamivudina|Lamivudine|Lamivudinum,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Zalcitabine|2'-3'-Dideoxycytidine|4-amino-1-[(2R-5S)-5-(hydroxymethyl)tetrahydrofuran-2-yl]pyrimidin-2(1H)-one|DDC|DDCYD|Dideoxycytidine|Zalcitabine,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus
Ribavirin|1-beta-D-Ribofuranosyl-1-2-4-triazole-3-carboxamide|1-beta-D-Ribofuranosyl-1H-1-2-4-triazole-3-carboxamide|RBV|Ribavirin|Ribavirina|Ribavirine|Ribavirinum|Tribavirin,Human rubulavirus 2|HPIV-2|HPIV2|PIV-2|Human parainfluenza 2 virus|Human parainfluenza virus 2|Human parainfluenza virus type 2|Parainfluenza virus type 2
Valganciclovir|Valganciclovir,Human betaherpesvirus 5|HHV-5|Human herpesvirus 5|human herpesvirus type 5
Foscarnet|Carboxyphosphonic acid|Foscarmet|Phosphonoformate|Phosphonoformic acid|Phosphonomethanoic acid,Human betaherpesvirus 5|HHV-5|Human herpesvirus 5|human herpesvirus type 5
Maribavir,Human betaherpesvirus 5|HHV-5|Human herpesvirus 5|human herpesvirus type 5
Cidofovir|({[(S)-1-(4-amino-2-oxo-1-2-dihydropyrimidin-1-yl)-3-hydroxypropan-2-yl]oxy}methyl)phosphonic acid|(S)-(3-(4-amino-2-Oxopyrimidin-1(2H)-yl)-1-hydroxypropan-2-yloxy)methylphosphonic acid|(S)-1-(3-Hydroxy-2-phosphonomethoxypropyl)cytosine|(S)-1-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine|(S)-1-[3-Hydroxy-2-(phosphonylmethoxy)propyl]cytosine|(S)-HPMPC|[(S)-2-(4-Amino-2-oxo-2H-pyrimidin-1-yl)-1-hydroxymethyl-ethoxymethyl]-phosphonic acid|[[(S)-2-(4-amino-2-oxo-1(2H)-pyrimidinyl)-1-(hydroxymethyl)ethoxy]methyl]phosphonic acid|1-(S)-[3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine|1-[(S)-3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine|CDV|Cidofovir|Cidofovir anhydrous|Cidofovirum,Human betaherpesvirus 5|HHV-5|Human herpesvirus 5|human herpesvirus type 5
Vidarabine|9-beta-D-arabinofuranosyl-9H-purin-6-amine|9-beta-D-arabinofuranosyl-adenine|9-beta-D-Arabinofuranosyladenine|9-��-D-arabinofuranosyl-9H-purin-6-amine|9-��-D-arabinofuranosyladenine|Spongoadenosine|Vidarabine|Vidarabinum,Human alphaherpesvirus 3|HHV-3|VZV|Human herpes virus 3|Human herpesvirus 3|Varicella Zoster Virus|varicella zoster virus VZV|varicella-zoster virus VZV
Acyclovir|Aciclovir|Aciclovirum|Acycloguanosine|Acyclovir,Human alphaherpesvirus 3|HHV-3|VZV|Human herpes virus 3|Human herpesvirus 3|Varicella Zoster Virus|varicella zoster virus VZV|varicella-zoster virus VZV
Famciclovir|2-(2-(2-amino-9H-purin-9-yl)ethyl)-1-3-propanediol diacetate|9-[4-acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine|acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester|Famciclovir|Famciclovirum|FCV,Human alphaherpesvirus 3|HHV-3|VZV|Human herpes virus 3|Human herpesvirus 3|Varicella Zoster Virus|varicella zoster virus VZV|varicella-zoster virus VZV
Vidarabine|9-beta-D-arabinofuranosyl-9H-purin-6-amine|9-beta-D-arabinofuranosyl-adenine|9-beta-D-Arabinofuranosyladenine|9-��-D-arabinofuranosyl-9H-purin-6-amine|9-��-D-arabinofuranosyladenine|Spongoadenosine|Vidarabine|Vidarabinum,Human alphaherpesvirus 1|HSV-1|HSV1|Herpes simplex virus 1|Human herpesvirus 1|Human herpesvirus type 1|herpes simplex virus 1 HSV-1|herpes simplex virus HSV-1|herpes simplex virus type 1 HSV-1|herpes simplex virus type 1 HSV1|herpes simplex virus type-1 HSV-1
Valaciclovir|L-Valine ester with 9-((2-hydroxyethoxy)methyl)guanine|L-Valine- 2-((2-amino-1-6-dihydro-6-oxo-9H-purin-9-yl)methoxy)ethyl ester|Valaciclovir|Valaciclovirum|Valacyclovir,Human alphaherpesvirus 1|HSV-1|HSV1|Herpes simplex virus 1|Human herpesvirus 1|Human herpesvirus type 1|herpes simplex virus 1 HSV-1|herpes simplex virus HSV-1|herpes simplex virus type 1 HSV-1|herpes simplex virus type 1 HSV1|herpes simplex virus type-1 HSV-1
Trifluridine|5-(Trifluoromethyl)deoxyuridine|5-Trifluoromethyl-2-deoxyuridine|F?T|TFT|Trifluoromethyldeoxyuridine|Trifluorothymidine|Trifluorothymine deoxyriboside|Trifluridin|Trifluridina|Trifluridine|Trifluridinum,Human alphaherpesvirus 1|HSV-1|HSV1|Herpes simplex virus 1|Human herpesvirus 1|Human herpesvirus type 1|herpes simplex virus 1 HSV-1|herpes simplex virus HSV-1|herpes simplex virus type 1 HSV-1|herpes simplex virus type 1 HSV1|herpes simplex virus type-1 HSV-1
Famciclovir|2-(2-(2-amino-9H-purin-9-yl)ethyl)-1-3-propanediol diacetate|9-[4-acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine|acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester|Famciclovir|Famciclovirum|FCV,Human alphaherpesvirus 1|HSV-1|HSV1|Herpes simplex virus 1|Human herpesvirus 1|Human herpesvirus type 1|herpes simplex virus 1 HSV-1|herpes simplex virus HSV-1|herpes simplex virus type 1 HSV-1|herpes simplex virus type 1 HSV1|herpes simplex virus type-1 HSV-1
