#DrugBank-ID,Drug-name,HPO-ID,Symptom
40,glucagon recombinant,1943,hypoglycemia
40,glucagon recombinant,12828,severe
41,aldesleukin,5584,renal cell carcinoma
41,aldesleukin,12830,position
41,aldesleukin,30731,carcinoma
42,botulinum toxin type b,1332,dystonia
42,botulinum toxin type b,12531,pain
42,botulinum toxin type b,12824,severity
42,botulinum toxin type b,12830,position
42,botulinum toxin type b,30833,neck pain
43,omalizumab,2099,asthma
44,lutropin alfa,44,hypogonadotropic hypogonadism
44,lutropin alfa,135,hypogonadism
44,lutropin alfa,789,infertility
44,lutropin alfa,11009,acute
44,lutropin alfa,12829,profound
46,insulin lispro,819,diabetes mellitus
47,insulin glargine,819,diabetes mellitus
47,insulin glargine,3074,hyperglycemia
47,insulin glargine,12830,position
48,collagenase clostridium histolyticum,12828,severe
49,rasburicase,2149,hyperuricemia
51,adalimumab,1369,arthritis
51,adalimumab,1370,rheumatoid arthritis
51,adalimumab,100280,crohn's disease
52,somatotropin,1824,weight loss
54,abciximab,31915,stable
55,drotrecogin alfa,12828,severe
55,drotrecogin alfa,100806,sepsis
56,gemtuzumab ozogamicin,1909,leukemia
56,gemtuzumab ozogamicin,4808,acute myeloid leukemia
56,gemtuzumab ozogamicin,11009,acute
56,gemtuzumab ozogamicin,12324,myeloid leukemia
56,gemtuzumab ozogamicin,31375,refractory
58,alpha-1-proteinase inhibitor,2097,emphysema
58,alpha-1-proteinase inhibitor,11010,chronic
59,pegaspargase,1909,leukemia
59,pegaspargase,6721,acute lymphoblastic leukemia
59,pegaspargase,11009,acute
62,human serum albumin,1541,ascites
62,human serum albumin,2098,respiratory distress
62,human serum albumin,3073,hypoalbuminemia
62,human serum albumin,11009,acute
62,human serum albumin,11106,hypovolemia
63,eptifibatide,1658,myocardial infarction
63,eptifibatide,11009,acute
65,infliximab,143,rectovaginal fistula
65,infliximab,752,hyperactivity
65,infliximab,1369,arthritis
65,infliximab,1370,rheumatoid arthritis
65,infliximab,2583,colitis
65,infliximab,4320,vaginal fistula
65,infliximab,11010,chronic
65,infliximab,12826,moderate
65,infliximab,12828,severe
65,infliximab,100279,ulcerative colitis
66,follitropin,135,hypogonadism
67,vasopressin,103,polyuria
67,vasopressin,805,enuresis
67,vasopressin,873,diabetes insipidus
67,vasopressin,1959,polydipsia
67,vasopressin,12839,distal
68,interferon beta-1b,40279,frequency
69,interferon alfacon-1,1259,coma
69,interferon alfacon-1,1909,leukemia
69,interferon alfacon-1,2861,melanoma
69,interferon alfacon-1,12830,position
69,interferon alfacon-1,40282,frequent
69,interferon alfacon-1,100242,sarcoma
69,interferon alfacon-1,100726,kaposi's sarcoma
71,insulin pork,819,diabetes mellitus
72,trastuzumab,12126,stomach cancer
72,trastuzumab,30731,carcinoma
73,rituximab,1369,arthritis
73,rituximab,1370,rheumatoid arthritis
73,rituximab,1909,leukemia
73,rituximab,2665,lymphoma
73,rituximab,11010,chronic
75,muromonab,1541,ascites
78,ibritumomab tiuxetan,2665,lymphoma
80,daptomycin,100033,tics
81,tositumomab,2665,lymphoma
83,botulinum toxin type a,486,strabismus
83,botulinum toxin type a,643,blepharospasm
83,botulinum toxin type a,975,hyperhidrosis
83,botulinum toxin type a,1332,dystonia
83,botulinum toxin type a,11856,pica
83,botulinum toxin type a,12531,pain
83,botulinum toxin type a,12824,severity
83,botulinum toxin type a,12826,moderate
83,botulinum toxin type a,12828,severe
83,botulinum toxin type a,12830,position
83,botulinum toxin type a,30833,neck pain
85,pancrelipase,1733,pancreatitis
85,pancrelipase,1824,weight loss
85,pancrelipase,2570,steatorrhea
85,pancrelipase,4395,malnutrition
85,pancrelipase,6280,chronic pancreatitis
85,pancrelipase,11010,chronic
86,streptokinase,1658,myocardial infarction
86,streptokinase,2204,pulmonary embolism
86,streptokinase,4420,arterial thrombosis
86,streptokinase,11009,acute
87,alemtuzumab,1909,leukemia
87,alemtuzumab,11010,chronic
89,capromab pendetide,12125,prostate cancer
91,cyclosporine,1369,arthritis
91,cyclosporine,1370,rheumatoid arthritis
91,cyclosporine,12828,severe
92,alefacept,11010,chronic
92,alefacept,12826,moderate
92,alefacept,12828,severe
93,felypressin,12531,pain
94,urofollitropin,789,infertility
94,urofollitropin,3251,male infertility
94,urofollitropin,8222,female infertility
95,efalizumab,11010,chronic
95,efalizumab,12826,moderate
95,efalizumab,12828,severe
97,choriogonadotropin alfa,789,infertility
97,choriogonadotropin alfa,3251,male infertility
97,choriogonadotropin alfa,8222,female infertility
98,antithymocyte immunoglobulin (rabbit),11009,acute
99,filgrastim,1875,neutropenia
99,filgrastim,1909,leukemia
99,filgrastim,4808,acute myeloid leukemia
99,filgrastim,11009,acute
99,filgrastim,11010,chronic
99,filgrastim,12324,myeloid leukemia
99,filgrastim,12828,severe
99,filgrastim,30646,peripheral
99,filgrastim,410252,chronic neutropenia
100,coagulation factor ix (recombinant),100033,tics
102,becaplermin,11856,pica
102,becaplermin,200042,skin ulcer
105,interferon alfa-2b- recombinant,1259,coma
105,interferon alfa-2b- recombinant,1909,leukemia
105,interferon alfa-2b- recombinant,2861,melanoma
105,interferon alfa-2b- recombinant,12830,position
105,interferon alfa-2b- recombinant,100242,sarcoma
105,interferon alfa-2b- recombinant,100726,kaposi's sarcoma
106,abarelix,12125,prostate cancer
108,natalizumab,1298,encephalopathy
108,natalizumab,2352,leukoencephalopathy
108,natalizumab,3676,progressive
108,natalizumab,30650,focal
108,natalizumab,30651,multifocal
110,palivizumab,31915,stable
111,daclizumab,11009,acute
111,daclizumab,12115,hepatitis
114,pyridoxal phosphate,25153,transient
115,cyanocobalamin,1903,anemia
115,cyanocobalamin,2024,malabsorption
115,cyanocobalamin,30645,central
115,cyanocobalamin,100502,vitamin b12 deficiency
117,histidine,1369,arthritis
117,histidine,1370,rheumatoid arthritis
117,histidine,1903,anemia
118,ademetionine,1369,arthritis
118,ademetionine,2758,osteoarthritis
118,ademetionine,3326,myalgia
118,ademetionine,11010,chronic
120,l-phenylalanine,1045,vitiligo
120,l-phenylalanine,40141,tardive dyskinesia
120,l-phenylalanine,100660,dyskinesia
129,ornithine,30645,central
130,l-glutamine,11009,acute
131,adenosine monophosphate,12830,position
133,serine,100033,tics
135,l-tyrosine,11010,chronic
135,l-tyrosine,12378,fatigue
135,l-tyrosine,12432,chronic fatigue
135,l-tyrosine,30050,narcolepsy
136,calcitriol,829,hypoparathyroidism
136,calcitriol,939,osteoporosis
136,calcitriol,1056,milia
136,calcitriol,2148,hypophosphatemia
136,calcitriol,2748,rickets
136,calcitriol,2901,hypocalcemia
136,calcitriol,11010,chronic
136,calcitriol,31375,refractory
138,cystine,1369,arthritis
138,cystine,1370,rheumatoid arthritis
138,cystine,2758,osteoarthritis
141,n-acetylglucosamine,1369,arthritis
141,n-acetylglucosamine,2758,osteoarthritis
142,glutamic acid,12378,fatigue
142,glutamic acid,30955,alcoholism
142,glutamic acid,100753,schizophrenia
144,phosphatidyl serine,508,ptosis
144,phosphatidyl serine,726,dementia
144,phosphatidyl serine,2354,memory impairment
144,phosphatidyl serine,100543,cognitive impairment
146,calcidiol,829,hypoparathyroidism
146,calcidiol,939,osteoporosis
146,calcidiol,1056,milia
146,calcidiol,2148,hypophosphatemia
146,calcidiol,2748,rickets
146,calcidiol,2749,osteomalacia
146,calcidiol,2901,hypocalcemia
146,calcidiol,11010,chronic
146,calcidiol,31375,refractory
146,calcidiol,100246,osteoma
149,l-leucine,12828,severe
150,l-tryptophan,12531,pain
150,l-tryptophan,32322,healthy
152,thiamine,709,psychosis
152,thiamine,30646,peripheral
152,thiamine,31002,neuritis
152,thiamine,31258,delirium
153,ergocalciferol,829,hypoparathyroidism
153,ergocalciferol,939,osteoporosis
153,ergocalciferol,1056,milia
153,ergocalciferol,1941,acidosis
153,ergocalciferol,2148,hypophosphatemia
153,ergocalciferol,2748,rickets
153,ergocalciferol,2749,osteomalacia
153,ergocalciferol,2901,hypocalcemia
153,ergocalciferol,100246,osteoma
154,dihomo-gamma-linolenic acid,12830,position
155,l-citrulline,30645,central
157,nadh,11010,chronic
157,nadh,12378,fatigue
157,nadh,12432,chronic fatigue
157,nadh,12830,position
158,folic acid,1889,megaloblastic anemia
158,folic acid,1903,anemia
159,icosapent,112,nephropathy
159,icosapent,12824,severity
159,icosapent,100033,tics
160,l-alanine,30645,central
161,l-valine,1298,encephalopathy
161,l-valine,2480,hepatic encephalopathy
161,l-valine,2919,ketonuria
163,vitamin e,518,cataract
163,vitamin e,1369,arthritis
163,vitamin e,1370,rheumatoid arthritis
163,vitamin e,2099,asthma
165,pyridoxine,2013,vomiting
165,pyridoxine,2017,nausea and vomiting
165,pyridoxine,2018,nausea
165,pyridoxine,9830,peripheral neuropathy
165,pyridoxine,30646,peripheral
167,l-isoleucine,1298,encephalopathy
167,l-isoleucine,2480,hepatic encephalopathy
167,l-isoleucine,40141,tardive dyskinesia
167,l-isoleucine,100660,dyskinesia
169,cholecalciferol,829,hypoparathyroidism
169,cholecalciferol,939,osteoporosis
169,cholecalciferol,1056,milia
169,cholecalciferol,2148,hypophosphatemia
169,cholecalciferol,2748,rickets
169,cholecalciferol,2901,hypocalcemia
169,cholecalciferol,11010,chronic
169,cholecalciferol,31375,refractory
175,pravastatin,3124,hypercholesterolemia
175,pravastatin,30646,peripheral
176,fluvoxamine,100739,bulimia
177,valsartan,112,nephropathy
177,valsartan,822,hypertension
177,valsartan,1635,congestive heart failure
177,valsartan,1658,myocardial infarction
177,valsartan,1712,left ventricular hypertrophy
177,valsartan,1714,ventricular hypertrophy
177,valsartan,12735,cough
177,valsartan,12835,left
177,valsartan,500106,isolated systolic hypertension
178,ramipril,112,nephropathy
178,ramipril,819,diabetes mellitus
178,ramipril,822,hypertension
178,ramipril,1297,stroke
178,ramipril,1635,congestive heart failure
178,ramipril,1658,myocardial infarction
178,ramipril,12825,mild
178,ramipril,12828,severe
178,ramipril,31915,stable
179,masoprocol,12835,left
180,flunisolide,2099,asthma
180,flunisolide,3193,allergic rhinitis
180,flunisolide,12384,rhinitis
181,baclofen,1257,spasticity
181,baclofen,2063,rigidity
181,baclofen,2169,clonus
181,baclofen,3394,muscle spasm
181,baclofen,12531,pain
181,baclofen,40279,frequency
182,amphetamine,752,hyperactivity
182,amphetamine,1513,obesity
182,amphetamine,30050,narcolepsy
182,amphetamine,31375,refractory
184,nicotine,11856,pica
186,lorazepam,739,anxiety
186,lorazepam,2133,status epilepticus
187,esmolol,1649,tachycardia
187,esmolol,3674,onset
187,esmolol,4749,atrial flutter
187,esmolol,5110,atrial fibrillation
187,esmolol,11703,sinus tachycardia
188,bortezomib,508,ptosis
188,bortezomib,2665,lymphoma
188,bortezomib,6775,multiple myeloma
188,bortezomib,31375,refractory
189,ethchlorvynol,12393,allergy
189,ethchlorvynol,100785,insomnia
190,carbidopa,1300,parkinsonism
190,carbidopa,3470,paralysis
190,carbidopa,30646,peripheral
191,phentermine,1513,obesity
191,phentermine,30645,central
191,phentermine,40282,frequent
192,indecainide,1649,tachycardia
192,indecainide,4756,ventricular tachycardia
193,tramadol,1369,arthritis
193,tramadol,2019,constipation
193,tramadol,2758,osteoarthritis
193,tramadol,11009,acute
193,tramadol,12531,pain
193,tramadol,12826,moderate
193,tramadol,12828,severe
195,betaxolol,822,hypertension
196,fluconazole,1287,meningitis
196,fluconazole,32160,cryptococcal meningitis
197,troglitazone,819,diabetes mellitus
197,troglitazone,5978,type ii diabetes mellitus
198,oseltamivir,11009,acute
199,erythromycin,11009,acute
199,erythromycin,11947,respiratory tract infection
199,erythromycin,12735,cough
199,erythromycin,12824,severity
199,erythromycin,12825,mild
199,erythromycin,12826,moderate
199,erythromycin,31247,whooping cough
199,erythromycin,500006,urethritis
200,hydroxocobalamin,646,amblyopia
200,hydroxocobalamin,648,optic atrophy
200,hydroxocobalamin,836,hyperthyroidism
200,hydroxocobalamin,1903,anemia
200,hydroxocobalamin,2014,diarrhea
200,hydroxocobalamin,2024,malabsorption
200,hydroxocobalamin,25297,prolonged
200,hydroxocobalamin,30955,alcoholism
200,hydroxocobalamin,100502,vitamin b12 deficiency
201,caffeine,713,agitation
201,caffeine,1278,orthostatic hypotension
201,caffeine,2104,apnea
201,caffeine,2315,headache
201,caffeine,2615,hypotension
201,caffeine,12378,fatigue
201,caffeine,30645,central
202,succinylcholine,3674,onset
203,sildenafil,822,hypertension
203,sildenafil,2092,pulmonary arterial hypertension
203,sildenafil,100639,erectile dysfunction
204,dofetilide,4749,atrial flutter
204,dofetilide,5110,atrial fibrillation
205,pyrimethamine,11009,acute
206,reserpine,822,hypertension
206,reserpine,30645,central
206,reserpine,30646,peripheral
207,azithromycin,2090,pneumonia
207,azithromycin,12825,mild
207,azithromycin,12826,moderate
207,azithromycin,100033,tics
208,ticlopidine,979,purpura
208,ticlopidine,1297,stroke
208,ticlopidine,1873,thrombocytopenia
208,ticlopidine,1875,neutropenia
208,ticlopidine,1903,anemia
208,ticlopidine,1915,aplastic anemia
208,ticlopidine,12234,agranulocytosis
208,ticlopidine,32310,granulocytosis
209,trospium,20,urinary incontinence
209,trospium,40279,frequency
210,adapalene,1061,acne
210,adapalene,11856,pica
210,adapalene,25249,comedo
210,adapalene,32152,keratosis pilaris
211,midodrine,1278,orthostatic hypotension
211,midodrine,2615,hypotension
212,remikiren,822,hypertension
213,pantoprazole,2020,gastroesophageal reflux
213,pantoprazole,100633,esophagitis
214,torasemide,822,hypertension
214,torasemide,969,edema
214,torasemide,1635,congestive heart failure
215,citalopram,713,agitation
215,citalopram,726,dementia
215,citalopram,739,anxiety
215,citalopram,2018,nausea
215,citalopram,2315,headache
215,citalopram,2329,drowsiness
215,citalopram,11009,acute
215,citalopram,11010,chronic
215,citalopram,12825,mild
215,citalopram,12828,severe
215,citalopram,40282,frequent
216,eletriptan,2076,migraine
216,eletriptan,2315,headache
216,eletriptan,11009,acute
217,bethanidine,822,hypertension
218,moxifloxacin,246,sinusitis
218,moxifloxacin,509,conjunctivitis
218,moxifloxacin,2090,pneumonia
218,moxifloxacin,4469,chronic bronchitis
218,moxifloxacin,11010,chronic
218,moxifloxacin,12387,bronchitis
219,oxyphenonium,2588,duodenal ulcer
219,oxyphenonium,30646,peripheral
221,isoetarine,2097,emphysema
221,isoetarine,2099,asthma
221,isoetarine,11010,chronic
221,isoetarine,12387,bronchitis
221,isoetarine,30828,wheezing
222,glimepiride,819,diabetes mellitus
223,diflorasone,11856,pica
225,gadodiamide,30716,acrania
226,guanadrel,822,hypertension
227,lovastatin,2621,atherosclerosis
227,lovastatin,3124,hypercholesterolemia
227,lovastatin,3677,slow progression
227,lovastatin,12830,position
228,enflurane,31915,stable
229,cefotiam,12828,severe
229,cefotiam,32169,severe infection
230,pregabalin,739,anxiety
230,pregabalin,1250,seizure
230,pregabalin,3326,myalgia
230,pregabalin,3674,onset
230,pregabalin,9830,peripheral neuropathy
230,pregabalin,12531,pain
230,pregabalin,12837,generalized
230,pregabalin,30646,peripheral
231,temazepam,739,anxiety
231,temazepam,100785,insomnia
232,methyclothiazide,822,hypertension
232,methyclothiazide,969,edema
232,methyclothiazide,1394,cirrhosis
232,methyclothiazide,1635,congestive heart failure
232,methyclothiazide,12828,severe
235,milrinone,1635,congestive heart failure
236,pipobroman,11010,chronic
236,pipobroman,31375,refractory
237,butabarbital,739,anxiety
237,butabarbital,3674,onset
237,butabarbital,12828,severe
237,butabarbital,100785,insomnia
238,nevirapine,2721,immunodeficiency
239,oxiconazole,11856,pica
240,alclometasone,11856,pica
241,butalbital,2076,migraine
241,butalbital,2315,headache
241,butalbital,12531,pain
242,cladribine,1873,thrombocytopenia
242,cladribine,1875,neutropenia
242,cladribine,1903,anemia
242,cladribine,1909,leukemia
242,cladribine,2665,lymphoma
242,cladribine,11010,chronic
242,cladribine,12190,t-cell lymphoma
242,cladribine,12192,cutaneous t-cell lymphoma
243,ranolazine,11010,chronic
245,benzatropine,1300,parkinsonism
245,benzatropine,1332,dystonia
245,benzatropine,30645,central
245,benzatropine,100033,tics
246,ziprasidone,713,agitation
246,ziprasidone,11009,acute
246,ziprasidone,11856,pica
246,ziprasidone,100753,schizophrenia
246,ziprasidone,100754,mania
247,methysergide,2076,migraine
247,methysergide,2315,headache
248,cabergoline,40278,prolactinoma
249,idoxuridine,491,keratitis
249,idoxuridine,509,conjunctivitis
249,idoxuridine,1096,keratoconjunctivitis
250,dapsone,25295,herpetiform
252,phenytoin,1250,seizure
252,phenytoin,12837,generalized
253,medrysone,509,conjunctivitis
253,medrysone,7879,allergic conjunctivitis
253,medrysone,100532,scleritis
253,medrysone,100534,episcleritis
254,doxycycline,2090,pneumonia
254,doxycycline,11947,respiratory tract infection
255,diethylstilbestrol,12125,prostate cancer
256,lymecycline,1061,acne
258,calcium acetate,2905,hyperphosphatemia
259,sulfanilamide,30683,vaginitis
261,anagrelide,1894,thrombocytosis
261,anagrelide,1909,leukemia
261,anagrelide,5547,myeloproliferative disorder
261,anagrelide,11010,chronic
261,anagrelide,12324,myeloid leukemia
262,carmustine,2664,neoplasm
262,carmustine,2665,lymphoma
262,carmustine,6775,multiple myeloma
263,sulfisoxazole,371,acute otitis media
263,sulfisoxazole,388,otitis media
263,sulfisoxazole,509,conjunctivitis
263,sulfisoxazole,1287,meningitis
263,sulfisoxazole,11009,acute
263,sulfisoxazole,12828,severe
264,metoprolol,822,hypertension
264,metoprolol,1658,myocardial infarction
264,metoprolol,1681,angina pectoris
264,metoprolol,2076,migraine
264,metoprolol,2315,headache
264,metoprolol,11009,acute
264,metoprolol,11675,arrhythmia
264,metoprolol,12825,mild
264,metoprolol,12826,moderate
264,metoprolol,12830,position
265,crotamiton,11856,pica
268,ropinirole,12452,restless legs
269,chlorotrianisene,789,infertility
269,chlorotrianisene,12125,prostate cancer
269,chlorotrianisene,100033,tics
270,isradipine,822,hypertension
270,isradipine,12825,mild
270,isradipine,12826,moderate
270,isradipine,100033,tics
273,topiramate,1250,seizure
273,topiramate,1513,obesity
273,topiramate,2076,migraine
273,topiramate,2315,headache
273,topiramate,3674,onset
273,topiramate,12828,severe
273,topiramate,40282,frequent
274,cefmetazole,12828,severe
275,olmesartan,819,diabetes mellitus
275,olmesartan,822,hypertension
276,amsacrine,1909,leukemia
276,amsacrine,2488,acute leukemia
276,amsacrine,2665,lymphoma
276,amsacrine,11009,acute
276,amsacrine,40282,frequent
277,theophylline,2097,emphysema
277,theophylline,2099,asthma
277,theophylline,4469,chronic bronchitis
277,theophylline,6528,chronic lung disease
277,theophylline,11010,chronic
277,theophylline,12387,bronchitis
277,theophylline,25428,bronchospasm
277,theophylline,30645,central
278,argatroban,1873,thrombocytopenia
279,liothyronine,821,hypothyroidism
279,liothyronine,11009,acute
279,liothyronine,11011,subacute
279,liothyronine,12830,position
279,liothyronine,25153,transient
279,liothyronine,30646,peripheral
279,liothyronine,100646,thyroiditis
280,disopyramide,1649,tachycardia
280,disopyramide,4308,ventricular arrhythmia
280,disopyramide,4756,ventricular tachycardia
280,disopyramide,11675,arrhythmia
281,lidocaine,11675,arrhythmia
281,lidocaine,25297,prolonged
281,lidocaine,30645,central
281,lidocaine,30646,peripheral
282,pamidronate,3072,hypercalcemia
282,pamidronate,12826,moderate
282,pamidronate,12828,severe
283,clemastine,969,edema
283,clemastine,989,pruritus
283,clemastine,1025,urticaria
283,clemastine,1945,fever
283,clemastine,2329,drowsiness
283,clemastine,3193,allergic rhinitis
283,clemastine,12384,rhinitis
283,clemastine,12825,mild
283,clemastine,31417,rhinorrhea
283,clemastine,100665,angioedema
284,acarbose,819,diabetes mellitus
285,venlafaxine,739,anxiety
285,venlafaxine,756,agoraphobia
285,venlafaxine,12531,pain
285,venlafaxine,12837,generalized
286,conjugated estrogens,135,hypogonadism
286,conjugated estrogens,939,osteoporosis
286,conjugated estrogens,12531,pain
286,conjugated estrogens,12826,moderate
286,conjugated estrogens,12828,severe
286,conjugated estrogens,25281,sharp
286,conjugated estrogens,30731,carcinoma
286,conjugated estrogens,31088,vaginal dryness
286,conjugated estrogens,31217,hot flashes
286,conjugated estrogens,40282,frequent
286,conjugated estrogens,100033,tics
287,travoprost,501,glaucoma
287,travoprost,822,hypertension
287,travoprost,1259,coma
287,travoprost,7906,ocular hypertension
287,travoprost,11856,pica
289,atomoxetine,752,hyperactivity
290,bleomycin,2664,neoplasm
290,bleomycin,2665,lymphoma
290,bleomycin,2860,squamous cell carcinoma
290,bleomycin,30731,carcinoma
290,bleomycin,100033,tics
291,chlorambucil,100,nephrotic syndrome
291,chlorambucil,1259,coma
291,chlorambucil,1909,leukemia
291,chlorambucil,2665,lymphoma
291,chlorambucil,11010,chronic
291,chlorambucil,100242,sarcoma
293,raltitrexed,2664,neoplasm
295,morphine,11010,chronic
295,morphine,12531,pain
295,morphine,12532,chronic pain
295,morphine,12828,severe
295,morphine,30645,central
298,dapiprazole,11499,mydriasis
298,dapiprazole,11856,pica
299,penciclovir,31796,recurrent
300,tenofovir disoproxil,11010,chronic
300,tenofovir disoproxil,12115,hepatitis
300,tenofovir disoproxil,200123,chronic hepatitis
302,tranexamic acid,12828,severe
303,ertapenem,123,nephritis
303,ertapenem,2090,pneumonia
303,ertapenem,2754,osteomyelitis
303,ertapenem,11009,acute
303,ertapenem,12330,pyelonephritis
303,ertapenem,12486,myelitis
303,ertapenem,12826,moderate
303,ertapenem,12828,severe
303,ertapenem,31109,agalactia
303,ertapenem,31864,bacteremia
303,ertapenem,32169,severe infection
305,mitomycin,501,glaucoma
305,mitomycin,1259,coma
305,mitomycin,2664,neoplasm
307,bexarotene,1259,coma
307,bexarotene,2665,lymphoma
307,bexarotene,11856,pica
307,bexarotene,12190,t-cell lymphoma
307,bexarotene,12192,cutaneous t-cell lymphoma
307,bexarotene,31375,refractory
307,bexarotene,100242,sarcoma
307,bexarotene,100726,kaposi's sarcoma
308,ibutilide,3674,onset
308,ibutilide,4749,atrial flutter
308,ibutilide,5110,atrial fibrillation
308,ibutilide,11009,acute
309,vindesine,2665,lymphoma
309,vindesine,11009,acute
310,chlorthalidone,822,hypertension
310,chlorthalidone,12828,severe
311,ethoxzolamide,501,glaucoma
311,ethoxzolamide,1250,seizure
311,ethoxzolamide,1259,coma
311,ethoxzolamide,2588,duodenal ulcer
311,ethoxzolamide,2900,hypokalemia
312,pentobarbital,739,anxiety
312,pentobarbital,40282,frequent
312,pentobarbital,100785,insomnia
313,valproic acid,1250,seizure
313,valproic acid,2076,migraine
313,valproic acid,2315,headache
313,valproic acid,11856,pica
313,valproic acid,20221,clonic seizure
313,valproic acid,100033,tics
313,valproic acid,100754,mania
315,zolmitriptan,2076,migraine
315,zolmitriptan,11009,acute
316,acetaminophen,1945,fever
316,acetaminophen,2592,gastric ulcer
316,acetaminophen,12531,pain
318,codeine,2014,diarrhea
318,codeine,12531,pain
318,codeine,12735,cough
318,codeine,12825,mild
318,codeine,30645,central
319,piperacillin,100033,tics
320,dihydroergotamine,2076,migraine
320,dihydroergotamine,2315,headache
320,dihydroergotamine,11009,acute
320,dihydroergotamine,12199,cluster headache
321,amitriptyline,16,urinary retention
321,amitriptyline,622,blurred vision
321,amitriptyline,2019,constipation
321,amitriptyline,2076,migraine
321,amitriptyline,2315,headache
321,amitriptyline,11010,chronic
321,amitriptyline,12531,pain
321,amitriptyline,12532,chronic pain
321,amitriptyline,30645,central
322,floxuridine,2664,neoplasm
322,floxuridine,30731,carcinoma
324,fluorometholone,11856,pica
325,nitroprusside,1635,congestive heart failure
325,nitroprusside,11009,acute
325,nitroprusside,30646,peripheral
326,calcium gluceptate,1281,tetany
326,calcium gluceptate,1948,alkalosis
326,calcium gluceptate,2024,malabsorption
326,calcium gluceptate,2901,hypocalcemia
326,calcium gluceptate,12825,mild
327,hydromorphone,12531,pain
327,hydromorphone,12826,moderate
327,hydromorphone,12828,severe
328,indomethacin,1369,arthritis
