#DrugBank-ID,Drug_name,Disease_ID,Disease_name
1217,anastrozole,562,mccune-albright syndrome
1218,halofantrine,673,malaria
1224,quetiapine,181500,schizophrenia
1229,paclitaxel,114480,breast cancer
1229,paclitaxel,211980,lung cancer
1233,metoclopramide,109350,gastroesophageal reflux
1235,levodopa,97349,postencephalitic parkinsonism
1238,aripiprazole,181500,schizophrenia
1239,chlorprothixene,181500,schizophrenia
1240,epoprostenol,801,scleroderma
1242,clomipramine,181500,schizophrenia
1248,docetaxel,114480,breast cancer
1248,docetaxel,176807,prostate cancer
1248,docetaxel,211980,lung cancer
1254,dasatinib,521,chronic myeloid leukemia
1257,eculizumab,447,paroxysmal nocturnal hemoglobinuria
1259,lapatinib,114480,breast cancer
1259,lapatinib,211980,lung cancer
1262,decitabine,211750,c syndrome
1262,decitabine,1308,c syndrome
1262,decitabine,86839,refractory anemia with excess blasts
1262,decitabine,98826,refractory anemia
1267,paliperidone,181500,schizophrenia
1268,sunitinib,44890,gastrointestinal stromal tumor
1281,abatacept,180300,rheumatoid arthritis
1281,abatacept,92,juvenile idiopathic arthritis
1283,lumiracoxib,165720,osteoarthritis
1296,glucosamine,165720,osteoarthritis
1297,practolol,115000,cardiac arrhythmia
1299,sulfadoxine,673,malaria
1373,calcium,166710,osteoporosis
1394,colchicine,342,familial mediterranean fever
1399,salsalate,165720,osteoarthritis
1399,salsalate,180300,rheumatoid arthritis
1400,neostigmine,589,myasthenia gravis
1403,methotrimeprazine,181500,schizophrenia
1406,danazol,91378,hereditary angioedema
1550,fenproporex,601665,obesity
1553,cloxazolam,181500,schizophrenia
1564,calusterone,114480,breast cancer
1577,methamphetamine,601665,obesity
1579,phendimetrazine,601665,obesity
1590,everolimus,114480,breast cancer
1590,everolimus,805,tuberous sclerosis complex
1605,pivmecillinam,99745,typhoid
1609,deferasirox,613985,beta-thalassemia
1609,deferasirox,848,beta-thalassemia
1611,hydroxychloroquine,180300,rheumatoid arthritis
1611,hydroxychloroquine,673,malaria
1616,alverine,114480,breast cancer
1618,molindone,181500,schizophrenia
1622,thioproperazine,181500,schizophrenia
1622,thioproperazine,211750,c syndrome
1622,thioproperazine,1308,c syndrome
1623,thiothixene,181500,schizophrenia
1624,zuclopenthixol,181500,schizophrenia
1628,etoricoxib,165720,osteoarthritis
1628,etoricoxib,180300,rheumatoid arthritis
1645,genistein,176807,prostate cancer
1708,prasterone,166710,osteoporosis
1708,prasterone,181500,schizophrenia
1783,pantothenic acid,187400,testicular torsion
1783,pantothenic acid,601665,obesity
1791,piclamilast,70589,bronchopulmonary dysplasia
1873,epothilone d,114480,breast cancer
1873,epothilone d,114500,colorectal cancer
1873,epothilone d,176807,prostate cancer
1873,epothilone d,211980,lung cancer
2010,staurosporine,635,neuroblastoma
2187,equilin,114480,breast cancer
2187,equilin,166710,osteoporosis
2292,irosustat,114480,breast cancer
2342,2-methoxyestradiol,114480,breast cancer
2342,2-methoxyestradiol,180300,rheumatoid arthritis
2546,vorinostat,360,glioblastoma
2659,cholic acid,912,zellweger syndrome
3010,patupilone,114480,breast cancer
3010,patupilone,167000,ovarian cancer
3010,patupilone,211980,lung cancer
3106,scyllo-inositol,104300,alzheimer disease
3107,beta-alanine,237400,hyper-beta-alaninemia
3404,hemin,738,porphyria
3404,hemin,79276,acute intermittent porphyria
3424,ubenimex,211980,lung cancer
3496,alvocidib,133239,esophageal cancer
3496,alvocidib,211980,lung cancer
3604,tiratricol,300523,allan-herndon-dudley syndrome
3604,tiratricol,601665,obesity
3604,tiratricol,59,allan-herndon-dudley syndrome
3604,tiratricol,79088,localized lipodystrophy
3695,piritrexim,109800,bladder cancer
3793,benzoic acid,181500,schizophrenia
4209,dequalinium,520,acute promyelocytic leukemia
4209,dequalinium,673,malaria
4250,butyrylthiocholine,177400,butyrylcholinesterase
4253,tretazicar,114550,hepatocellular carcinoma
4253,tretazicar,88673,hepatocellular carcinoma
4455,n-n-n-trimethylglycinium-,214,cystinuria
4552,niflumic acid,180300,rheumatoid arthritis
4572,thiotepa,109800,bladder cancer
4572,thiotepa,114480,breast cancer
4572,thiotepa,167000,ovarian cancer
4574,estrone sulfate,114480,breast cancer
4574,estrone sulfate,166710,osteoporosis
4574,estrone sulfate,176807,prostate cancer
4575,quinestrol,176807,prostate cancer
4725,licofelone,165720,osteoarthritis
4743,nimesulide,165720,osteoarthritis
4780,sulfatide,250100,metachromatic leukodystrophy
4780,sulfatide,512,metachromatic leukodystrophy
4796,inecalcitol,176807,prostate cancer
4818,iproniazid,3389,tuberculosis
4825,prenylamine,115000,cardiac arrhythmia
4842,fluspirilene,181500,schizophrenia
4844,tetrabenazine,272620,tardive dyskinesia
4845,ixabepilone,114480,breast cancer
4845,ixabepilone,176807,prostate cancer
4845,ixabepilone,211980,lung cancer
4849,cediranib,114500,colorectal cancer
4849,cediranib,211980,lung cancer
4856,dexloxiglumide,109350,gastroesophageal reflux
4865,omacetaxine mepesuccinate,521,chronic myeloid leukemia
4866,halofuginone,801,scleroderma
4867,lintitript,260350,pancreatic cancer
4868,nilotinib,521,chronic myeloid leukemia
4870,oleoyl-estrone,601665,obesity
4871,lorcaserin,601665,obesity
4872,osanetant,181500,schizophrenia
4875,pralnacasan,180300,rheumatoid arthritis
4877,voacamine,673,malaria
4879,vatalanib,114500,colorectal cancer
4879,vatalanib,211980,lung cancer
4882,edotecarin,114500,colorectal cancer
4882,edotecarin,133239,esophageal cancer
4888,bifeprunox,181500,schizophrenia
4901,galiximab,176807,prostate cancer
4901,galiximab,180300,rheumatoid arthritis
4901,galiximab,29073,multiple myeloma
4905,tesmilifene,114480,breast cancer
4909,sitamaquine,507,leishmaniasis
4914,g17dt,114500,colorectal cancer
4914,g17dt,260350,pancreatic cancer
4931,afamelanotide,738,porphyria
4936,tagatose,601665,obesity
4946,iloperidone,181500,schizophrenia
4951,pirfenidone,2032,idiopathic pulmonary fibrosis
4960,tipifarnib,114500,colorectal cancer
4960,tipifarnib,260350,pancreatic cancer
4964,oregovomab,167000,ovarian cancer
4972,canfosfamide,167000,ovarian cancer
4974,ap1903,39812,graft versus host disease
4977,plitidepsin,176807,prostate cancer
4981,cg7870,176807,prostate cancer
4983,denufosol,219700,cystic fibrosis
4983,denufosol,586,cystic fibrosis
4985,tigapotide,176807,prostate cancer
4987,p113d,219700,cystic fibrosis
4987,p113d,586,cystic fibrosis
4989,ty800,99745,typhoid
4996,satraplatin,176807,prostate cancer
4996,satraplatin,211980,lung cancer
4998,agro100,260350,pancreatic cancer
5003,imexon,167000,ovarian cancer
5003,imexon,260350,pancreatic cancer
5003,imexon,29073,multiple myeloma
5004,ac162352,601665,obesity
5006,adecatumumab,114480,breast cancer
5006,adecatumumab,176807,prostate cancer
5006,adecatumumab,211980,lung cancer
5010,sgs-742,181500,schizophrenia
5014,xl999,211980,lung cancer
5016,ataluren,98896,duchenne muscular dystrophy
5017,ysil6,180300,rheumatoid arthritis
5018,migalastat,301500,fabry disease
5018,migalastat,324,fabry disease
5022,amonafide,114480,breast cancer
5022,amonafide,167000,ovarian cancer
5022,amonafide,176807,prostate cancer
5025,arimoclomol,803,amyotrophic lateral sclerosis
5029,lancovutide,219700,cystic fibrosis
5029,lancovutide,586,cystic fibrosis
5031,xp19986,109350,gastroesophageal reflux
5033,incb7839,114480,breast cancer
5035,eprotirome,601665,obesity
5036,grn163l,114480,breast cancer
5037,at7519,211750,c syndrome
5037,at7519,1308,c syndrome
5041,rp101,260350,pancreatic cancer
5042,sgs518,181500,schizophrenia
5045,obinepitide,601665,obesity
5049,ddp733,109350,gastroesophageal reflux
5051,bzl101,114480,breast cancer
5070,adx10059,109350,gastroesophageal reflux
5073,srt501,601665,obesity
5076,fenretinide,114480,breast cancer
5076,fenretinide,176807,prostate cancer
5077,slv319,601665,obesity
5080,obe101,601665,obesity
5084,abaloparatide,166710,osteoporosis
5085,tm30339,181500,schizophrenia
5085,tm30339,601665,obesity
5089,vpm4001,176807,prostate cancer
5090,fp0011,803,amyotrophic lateral sclerosis
5095,cimicoxib,181500,schizophrenia
5096,ly2140023,181500,schizophrenia
5098,leptin,601665,obesity
5100,prinomastat,176807,prostate cancer
5100,prinomastat,211980,lung cancer
5101,matuzumab,114500,colorectal cancer
5101,matuzumab,211980,lung cancer
5103,an-9,211980,lung cancer
5107,16-bromoepiandrosterone,219700,cystic fibrosis
5107,16-bromoepiandrosterone,586,cystic fibrosis
5107,16-bromoepiandrosterone,673,malaria
5109,trabectedin,167000,ovarian cancer
